Data Point_ACRR,Accumulation Area (m^2)_ACRR,Slope (degrees)_ACRR,Slope (%)_ACRR,Type_ACRR,Data Point_SR,Flow accumulation area (m^2)_SR,Slope (%)_SR,Type_SR
200,428,26.2241669,42.92371603,Flowhead,,,,
201,431,31.2236195,49.89616136,Flowhead,,,,
202,1554250,4.410449,7.682535432,In channel,,,,
203,72832,32.2792511,51.30570973,Flowhead,,,,
204,24363,29.832037,48.00443911,Flowhead,,,,
205,91960,25.7663555,42.26108557,Flowhead,,,,
206,1008950,10.665822,18.40470678,In channel,,,,
207,21,12.5337048,21.53619143,Flowhead,,,,
208,755684,10.023572,17.31916543,In channel,,,,
209,1446,22.0804882,36.78373247,Flowhead,,,,
210,142587,21.2878914,35.57371357,Flowhead,,,,
211,35589,15.454915,26.34686946,In channel,,,,
212,1,40.772747,61.84812483,Flowhead,,,,
213,369,34.3357658,53.98841552,Flowhead,,,,
214,8214,33.2330017,52.56027248,Flowhead,,,,
215,488,20.0831814,33.71358939,Flowhead,,,,
216,3162,32.9146538,52.14351885,Flowhead,,,,
217,51168,15.1141529,25.79164078,Flowhead,,,,
218,392912,15.0473022,25.68252379,Flowhead,,,,
219,55214,28.5621109,46.24491931,Flowhead,,,,
220,566172,11.7011776,20.1453852,In channel,,,,
221,4325,14.8701258,25.39302562,Flowhead,,,,
222,655227,10.1989079,17.61594153,In channel,,,,
223,5786,32.904541,52.13024719,Flowhead,,,,
224,1148490,8.8230066,15.27903488,In channel,,,,
225,909421,17.5205574,29.67615124,In channel,,,,
226,765,9.6592932,16.70160104,Flowhead,,,,
227,4399,19.8879642,33.40983004,Flowhead,,,,
228,10271,19.6581745,33.05145342,Flowhead,,,,
229,433,24.6065044,40.56460498,Flowhead,,,,
230,564771,18.5870686,31.36941413,In channel,,,,
231,24974,25.0272179,41.18289261,Flowhead,,,,
232,288,27.5966034,44.8861431,Flowhead,,,,
233,12689,27.2541885,44.39991962,Flowhead,,,,
234,159088,18.0582886,30.53214691,Flowhead,,,,
235,123,22.0055981,36.66987666,Flowhead,,,,
236,1055,25.0059776,41.15175696,Flowhead,,,,
237,1448,17.2101822,29.18001942,Flowhead,,,,
238,93560,25.9365139,42.50783581,Flowhead,,,,
239,175,22.7164135,37.74649407,Flowhead,,,,
240,19519,27.6558304,44.9700147,Flowhead,,,,
241,276,27.9058399,45.32330606,Flowhead,,,,
242,968699,11.6682777,20.09025684,In channel,,,,
243,1698800,2.5467484,4.441990634,In channel,,,,
244,22894,21.4304523,35.79217014,Flowhead,,,,
245,830,15.3692532,26.20744938,Flowhead,,,,
246,153959,9.2816668,16.06004865,In channel,,,,
247,103664,26.3931847,43.16734169,In channel,,,,
248,17021,20.7534542,34.75160445,Flowhead,,,,
249,279276,8.2130527,14.2374937,In channel,,,,
250,221,23.2784958,38.59139097,Flowhead,,,,
251,219,29.9311085,48.14037701,Flowhead,,,,
252,5854,18.9931049,32.00926343,Flowhead,,,,
253,3247,41.9671593,63.21840035,Flowhead,,,,
254,124681,42.493988,63.81421086,Flowhead,,,,
255,626,25.3308887,41.62710939,Flowhead,,,,
256,24080,17.4363327,29.5416665,Flowhead,,,,
257,2891,17.1840744,29.13821847,Flowhead,,,,
258,358,11.2614584,19.40756072,Flowhead,,,,
259,231,36.0740852,56.19086233,Flowhead,,,,
260,276097,14.6986685,25.11245736,In channel,,,,
261,112,16.6145287,28.22373402,Flowhead,,,,
262,468,11.6126184,19.99696378,Flowhead,,,,
263,14082300,12.4672699,21.42550916,In channel,,,,
264,13086300,2.8465383,4.964065065,In channel,,,,
265,12013600,6.3093295,10.9676681,In channel,,,,
266,10026900,1.7531586,3.058884588,In channel,,,,
267,47,16.8782101,28.64772409,Flowhead,,,,
268,3581750,15.6974277,26.74100481,In channel,,,,
269,5074020,16.5185947,28.06921575,In channel,,,,
270,68935,19.8999596,33.42851352,Flowhead,,,,
271,30810,16.4317665,27.92924513,Flowhead,,,,
272,4687,20.780426,34.79321297,Flowhead,,,,
273,112,17.2022018,29.16724319,Flowhead,,,,
274,14,38.9582138,59.71418525,Flowhead,,,,
275,2,34.6544304,54.39662677,Flowhead,,,,
276,449,17.6679039,29.91115892,Flowhead,,,,
277,31285,23.7999802,39.37011245,Flowhead,,,,
278,2683,31.0346069,49.64145624,Flowhead,,,,
279,132,36.4414253,56.64866244,Flowhead,,,,
280,84027,32.9181862,52.14815417,Flowhead,,,,
281,116,25.8340015,42.35924623,Flowhead,,,,
282,847,42.4966965,63.8172605,Flowhead,,,,
283,39,25.2524662,41.51255729,Flowhead,,,,
284,42048,23.2023449,38.47726038,Flowhead,,,,
285,25,27.0427151,44.09850176,Flowhead,,,,
286,15,24.4708214,40.36449797,Flowhead,,,,
287,34,26.8676529,43.84833084,Flowhead,,,,
288,102,25.0230961,41.17685123,Flowhead,,,,
289,53,23.9127388,39.53783584,Flowhead,,,,
290,1,20.635891,34.57009714,Flowhead,,,,
291,38,22.8341599,37.92395915,Flowhead,,,,
292,1186,9.9022903,17.11370147,Flowhead,,,,
293,21,17.9406796,30.34531867,Flowhead,,,,
294,993,12.1052322,20.8214137,Flowhead,,,,
295,1806,28.3031387,45.88224001,Flowhead,,,,
296,106,23.1875153,38.45502234,Flowhead,,,,
297,5870,24.3331966,40.16117715,Flowhead,,,,
298,368,30.2447433,48.56944962,Flowhead,,,,
299,12,33.0160942,52.27653355,Flowhead,,,,
300,58,14.6133919,24.97276211,Flowhead,,,,
301,6525,24.4352951,40.3120467,Flowhead,,,,
302,705,9.0051327,15.58939241,Flowhead,,,,
303,15786,34.9146004,54.7284187,Flowhead,,,,
304,172,37.0375748,57.38597857,Flowhead,,,,
305,252,19.1866264,32.31327391,Flowhead,,,,
306,1087,34.034729,53.60094204,Flowhead,,,,
307,55815,29.065588,46.94627535,Flowhead,,,,
308,2188,15.0069475,25.61662456,Flowhead,,,,
309,10669,34.9877167,54.82142254,Flowhead,,,,
310,106609,26.25,42.96098766,Flowhead,,,,
